# gunzip -c exp/tri1_ali_10k/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Mon Mar 15 01:34:56 EET 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.9,55) frames.
Overall, AH1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, T_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,16) frames.
Overall, IY0_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,21) frames.
Overall, ER0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.3,22) frames.
Overall, B_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, S_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,26) frames.
Overall, M_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,14) frames.
Overall, K_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, AH0_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, V_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, AE1_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,18) frames.
Overall, F_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,17) frames.
Overall, IH0_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, EY1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.3,22) frames.
Overall, K_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,17) frames.
Overall, L_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,25) frames.
Overall, AA1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,19) frames.
Overall, M_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,12) frames.
Overall, AO1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,21) frames.
Overall, IY1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,25) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,9) frames.
Overall, P_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,15) frames.
Overall, AY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.5,26) frames.
Overall, IY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,21) frames.
Overall, R_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,22) frames.
Overall, NG_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,19) frames.
Overall, ER0_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
Overall, P_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,17) frames.
Overall, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, M_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,19) frames.
Overall, UW1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,24) frames.
Overall, AH1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,5) frames.
Overall, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, L_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,10) frames.
Overall, R_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,22) frames.
Overall, AH0_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
The optional-silence phone SIL occupies 19.4% of frames overall 
Limiting the stats to the 95.7% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 15.7% of frames.
Assuming 100 frames per second, the alignments represent 100.4 hours of data, or 81.0 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 4.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (27,35.8,106)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Mar 15 01:34:56 EET 2021, elapsed time 0 seconds
