# gunzip -c exp/tri2b_ali_10k/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Wed Mar 17 23:52:19 EET 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (26,29.2,53) frames.
Overall, AE1_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,21) frames.
Overall, AH1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, T_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,15) frames.
Overall, IY0_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.1,24) frames.
Overall, AH0_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,9) frames.
Overall, ER0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,24) frames.
Overall, B_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,11) frames.
Overall, S_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.0,29) frames.
Overall, M_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,13) frames.
Overall, K_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, V_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
Overall, IH0_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,12) frames.
Overall, F_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,17) frames.
Overall, L_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.0,27) frames.
Overall, EY1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.2,22) frames.
Overall, K_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,17) frames.
Overall, AA1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,19) frames.
Overall, AE1_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,19) frames.
Overall, M_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,11) frames.
Overall, AO1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,20) frames.
Overall, IY1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,27) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, P_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, AY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.1,25) frames.
Overall, IY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,21) frames.
Overall, R_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,25) frames.
Overall, NG_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,20) frames.
Overall, ER0_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,15) frames.
Overall, P_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,16) frames.
Overall, M_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,22) frames.
Overall, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,12) frames.
Overall, UW1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.2,28) frames.
Overall, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, L_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,15) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,10) frames.
Overall, R_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,15) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,22) frames.
Overall, AH0_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, AH1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.9,5) frames.
The optional-silence phone SIL occupies 17.2% of frames overall 
Limiting the stats to the 96.0% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 13.8% of frames.
Assuming 100 frames per second, the alignments represent 35.1 hours of data, or 29.1 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 3.9% of utterance-internal phones, with duration (median, mean, 95-percentile) = (25,33.8,102)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Mar 17 23:52:19 EET 2021, elapsed time 0 seconds
