!SIL	SIL
<UNK>	SPN
HOLD	HH OW L
HOLD	HH OW L D
HOLDING	HH OW D IH IY NG
HOLDING	HH OW D IH NG
HOLY	HH OW L IY
HOME	HH AH OW M
HOME	HH OW
HOME	HH OW M
HOMELAND	HH OW M L AE N D
HOMELAND	HH OW M L EH N D
HOPE	HH OW
HOPE	HH OW P
HORSE	HH AO ER S
HORSE	HH AO R S
HORSE	HH AO S
HORSE	HH ER S
HORSE	HH OW ER S
HOSTS	HH OW
HOSTS	HH OW S
HOT	HH AA
HOT	HH AA T
HOW	AW
HOW	HH AA
HOW	HH AW
HOW	HH AW W
HOW	HH OW
HOW	HH OW W
HUCKLEBERRY	HH AA K AH B EH R IY
HUCKLEBERRY	HH AA K OW B EH R IY
HUCKLEBERRY	HH AH K OW B EH ER R IY
HUCKLEBERRY	HH AH K OW B IH EH ER R IY
HUG	HH AH
HUG	HH AH G
HUNG	HH AA
HUNG	HH AA AH NG
HUNG	HH AA NG
HUNGER	HH AH NG G ER
HUNGER	HH AO NG G ER
I	AA
I	AE
I	AH
I	AH AY
I	AW
I	AY
I	AY IH
I	AY Y
I	EH
I	HH AA
I	HH AE
I	HH AH
I	HH AY
I	HH OY
I	Y AH
I'D	AA
I'D	AH
I'D	AH D
I'D	AY
I'D	EH
I'LL	AA
I'LL	AA AH L
I'LL	AA AW
I'LL	AA L
I'LL	AH AW
I'LL	AH L
I'LL	AH OW
I'LL	AW
I'LL	AW OW
I'LL	AY
I'LL	AY AH OW
I'LL	AY L
I'LL	AY OW
I'M	AA AH M
I'M	AA M
I'M	AH
I'M	AH M
I'M	AW M
I'M	AY M
I'M	HH AE M
I'M	HH AY M
I'M	M
I'M	Y AY M
I'VE	AA F
I'VE	AE V
I'VE	AH F
I'VE	AW V
I'VE	AY
I'VE	AY F
I'VE	AY V
I'VE	EH AW F
IF	IH F
IF	IH F Y
IF	IH UW F
IF	IH V
IF	IY F
IF	IY IH V
IF	IY V
IN	AH N
IN	HH IH N
IN	HH IY
IN	IH
IN	IH AH N
IN	IH EH N
IN	IH M
IN	IH N
IN	IH N AH
IN	IY
IN	IY IH N
IN	IY N
IN	Y IH N
INFANT	IH N F AH N T
INFANT	IH N F EH N
INSANE	AH N S EY N
INSANE	IH N S EY N
INSIDE	IH N S AY
INSIDE	IY S AH
INTO	IH N D UW
INTO	IH N T UW
INTO	IY N T UW
IS	IH S
IS	IH S S
IS	IH Z
IS	Y IH Z
ISOLATION	AY S AO L EY SH AH
ISOLATION	AY S OW L EY SH AH N
IT	AH
IT	AH T
IT	EH
IT	EH T
IT	G OW
IT	HH IH T
IT	IH
IT	IH N
IT	IH T
IT	IY
IT	IY D
IT	IY Y EH
IT'S	AH S
IT'S	HH IH S
IT'S	IH EH S
IT'S	IH S
IT'S	IH S AH
IT'S	IH TH
IT'S	IH Z
IT'S	S
IT'S	W IH S
ITS	HH IH S
ITS	IH S
JAM	JH EH M
JAM	S AE M
JESUS	JH IY S AO S
JESUS	JH IY Z AH AA S
JESUS	JH IY Z AH S
JINGLE	CH IY NG G AH
JINGLE	JH IH IY NG G OW
JINGLE	JH IH NG G OW
JINGLE	JH IY NG G AH
JINGLE	JH IY NG G OW
JINGLE	S IY NG G AH
JINGLE	S IY NG G OW
JINGLE	SH IY NG G AH
JINGLE	Z IY NG G OW
JINGLE	ZH IY NG G AH
JOKE	JH OW K
JOY	JH OY
JUST	CH AA S
JUST	CH AH S
JUST	IH N JH OY
JUST	JH AH
JUST	JH AH S
JUST	JH AH S CH
JUST	JH AH S DH
JUST	JH AH S T
JUST	JH AH S TH
JUST	JH AH S W
JUST	JH EH S
JUST	JH IH S DH
JUST	JH UH S
JUST	JH Y AH S
JUST	N JH AH S
JUST	S AH S
JUST	S Y AH S
JUST	ZH AH S
KALEIDOSCOPE	K AH L AY D AH S K OW
KALEIDOSCOPE	K AH L AY D AH S K OW P
KALEIDOSCOPE	K AH L AY D UW S K OW P
KALEIDOSCOPE	K AH L EY D OW S K OW P
KEEP	K IY P
KEYS	K IY S
KINGS	K IH NG S
KINGS	K IH NG Z
KINGS	K IY NG S
KISS	K IH EH S
KISS	K Y EH S
KISSING	K IH S IH NG
KNEES	N IY S
KNEES	N IY Z
KNEW	N IY UW
KNEW	N IY Y AH
KNOW	N OW
KNOW	N OW OY
KNOWN	N OW N
KNOWS	N OW S
LA	L AA
LADY	L EY D IY
LAID	L EY
LAID	L EY T
LAID	UH EY
LANK	L EH NG
LANK	L EY NG K
LAST	L AA S
LAST	L AA S T
LAST	L AE
