A	AH
SHINES	SH AY N Z
SHOW	SH OW
SHUT	SH AH T
SIDE	S AY D
SIGHT	S AY T
SILENT	S AY L AH N T
SING	S IH NG
SKY	S K AY
SLEEP	S L IY P
SMALL	S M AO L
SMALLEST	S M AO L AH S T
SMILE	S M AY L
SNOW	S N OW
SO	S OW
SOMETHING	S AH M TH IH NG
SON	S AH N
SONG	S AO NG
SPARK	S P AA R K
STAND	S T AE N D
STAR	S T AA R
STILL	S T IH L
STREAM	S T R IY M
SUN	S AH N
SURRENDER	S ER EH N D ER
SWEET	S W IY T
TAKE	T EY K
TALE	T EY L
TELL	T EH L
TENDER	T EH N D ER
THANK	TH AE NG K
THANKS	TH AE NG K S
THAT	DH AE T
THAT(2)	DH AH T
THE	DH AH
THE(2)	DH IY
THEN	DH EH N
THERE	DH EH R
THERE'S	DH EH R Z
THESE	DH IY Z
THEY	DH EY
THIS	DH IH S
THOUGH	DH OW
THROUGH	TH R UW
THY	DH AY
TILL	T IH L
TIME	T AY M
TINY	T AY N IY
TO	T UW
TO(2)	T IH
TO(3)	T AH
TONIGHT	T AH N AY T
TONIGHT(2)	T UW N AY T
TRAVELER	T R AE V AH L ER
TRAVELER(2)	T R AE V L ER
TRUE	T R UW
TURN	T ER N
TURNED	T ER N D
TWINKLE	T W IH NG K AH L
TWISTING	T W IH S T IH NG
UNTIL	AH N T IH L
UP	AH P
UPON	AH P AA N
US	AH S
US(2)	Y UW EH S
VAGABONDS	V AE G AH B AA N D Z
VERY	V EH R IY
VIRGIN	V ER JH IH N
VOYAGER	V OY AH JH ER
VOYAGER(2)	V OY IH JH ER
WANDERER	W AA N D ER ER
WANT	W AA N T
WANT(2)	W AO N T
WARRIOR	W AO R IY ER
WARRIOR(2)	W AO R Y ER
WAVE	W EY V
WAY	W EY
WE	W IY
WE'VE	W IY V
WHAT	W AH T
WHAT(2)	HH W AH T
WHEN	W EH N
WHEN(2)	HH W EH N
WHEN(3)	W IH N
WHEN(4)	HH W IH N
WHERE	W EH R
WHERE(2)	HH W EH R
WHICH	W IH CH
WHICH(2)	HH W IH CH
WHILE	W AY L
WHILE(2)	HH W AY L
WHITE	W AY T
WHITE(2)	HH W AY T
WIDE	W AY D
WILD	W AY L D
WILL	W IH L
WILL(2)	W AH L
WITH	W IH DH
WITH(2)	W IH TH
WONDER	W AH N D ER
WORLD	W ER L D
WORTH	W ER TH
YEARS	Y IH R Z
YON	Y AA N
YOU	Y UW
YOUR	Y AO R
YOUR(2)	Y UH R
YOURS	Y UH R Z
YOURS(2)	Y AO R Z
YOURS(3)	Y ER Z
